state,total_hospitals,rated_hospitals,unrated_hospitals,percent_rated,percent_unrated
ND,47,9,38,19.00,81.00
SD,61,12,49,20.00,80.00
MT,63,16,47,25.00,75.00
NE,93,26,67,28.00,72.00
LA,161,48,113,30.00,70.00
KS,138,42,96,30.00,70.00
MN,136,41,95,30.00,70.00
WY,30,9,21,30.00,70.00
AK,25,8,17,32.00,68.00
IA,118,41,77,35.00,65.00
ID,48,17,31,35.00,65.00
OK,135,50,85,37.00,63.00
TX,465,197,268,42.00,58.00
MS,106,45,61,42.00,58.00
AR,90,40,50,44.00,56.00
NM,45,20,25,44.00,56.00
UT,51,23,28,45.00,55.00
WI,142,66,76,46.00,54.00
CO,97,45,52,46.00,54.00
HI,24,11,13,46.00,54.00
WV,55,27,28,49.00,51.00
AZ,106,53,53,50.00,50.00
AL,102,51,51,50.00,50.00
GA,148,79,69,53.00,47.00
TN,122,66,56,54.00,46.00
NV,46,25,21,54.00,46.00
DE,13,7,6,54.00,46.00
MO,121,67,54,55.00,45.00
KY,102,56,46,55.00,45.00
IN,150,85,65,57.00,43.00
WA,100,58,42,58.00,42.00
ME,36,21,15,58.00,42.00
MI,148,87,61,59.00,41.00
OH,196,120,76,61.00,39.00
MA,84,53,31,63.00,37.00
OR,62,39,23,63.00,37.00
IL,194,124,70,64.00,36.00
PA,188,122,66,65.00,35.00
NY,190,131,59,69.00,31.00
CA,378,266,112,70.00,30.00
CT,37,26,11,70.00,30.00
NH,28,20,8,71.00,29.00
NC,120,86,34,72.00,28.00
FL,222,163,59,73.00,27.00
SC,66,49,17,74.00,26.00
MD,56,42,14,75.00,25.00
VT,17,13,4,76.00,24.00
NJ,79,61,18,77.00,23.00
VA,95,74,21,78.00,22.00
RI,13,11,2,85.00,15.00
